date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zip_code,tags,submitted_via,date_sent_to_company,timely_response,consumer_disputed,complaint_id
2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,NY,14467,,Referral,2013-07-30,Yes,Yes,469360
2013-07-29,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,U.S. Bancorp,CA,92591,,Referral,2013-07-31,Yes,No,469632
2013-07-29,Mortgage,Conventional adjustable mortgage (ARM),"Application, originator, mortgage broker",,,,Bank of America,IL,60443,,Web,2013-08-01,Yes,No,469173
2013-07-29,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,Wells Fargo & Company,CA,96088,,Web,2013-08-01,Yes,No,469185
2013-07-29,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,CA,91605,,Web,2013-07-29,Yes,No,469201
2013-07-29,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",OH,45150,,Web,2013-07-30,Yes,No,469210
2013-07-29,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"Northland Group, Inc.",FL,32233,Servicemember,Referral,2013-08-01,Yes,No,469252
2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"SunTrust Banks, Inc.",FL,32084,,Referral,2013-08-02,Yes,No,469863
2013-07-29,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Bank of America,FL,33234,,Web,2013-07-30,Yes,No,469255
2013-07-29,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,"SunTrust Banks, Inc.",FL,32505,,Referral,2013-08-02,Yes,No,469811
2013-07-29,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,Santander Consumer USA Holdings Inc,CA,92677,,Referral,2013-08-05,Yes,Yes,479329
2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Land/Home Financial Services,MI,48382,,Fax,2013-08-06,No,,454668
2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,,,JPMorgan Chase & Co.,NJ,8530,,Postal mail,2013-07-30,Yes,No,475273
2013-07-29,Credit card,,Delinquent account,,,,Amex,TX,78232,,Web,2013-07-29,Yes,No,479990
2013-07-29,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,GA,30041,,Web,2013-07-30,Yes,No,469293
2013-07-29,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,Wells Fargo & Company,TX,77381,,Postal mail,2013-07-30,Yes,No,469309
2013-07-29,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Ocwen,MA,2368,,Web,2013-07-30,Yes,No,469334
2013-07-29,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",FL,33133,,Web,2013-07-30,Yes,No,469340
2013-07-29,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,CIT Bank National Association,NY,11101,,Web,2013-07-31,Yes,No,469487
2013-07-29,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,CA,91701,,Web,2013-08-01,Yes,No,469394
2013-07-29,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,"Alpine Financial Solutions, Inc.",KY,42303,Older American,Postal mail,2013-12-04,Yes,No,469408
2013-07-29,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,TN,37218,,Web,2013-07-30,Yes,No,469411
